Name FileName Target
GSM512539_360R.CEL  GSM512539_360R.CEL	healthy
GSM512540_352R.CEL	GSM512540_352R.CEL	healthy
GSM512541_347R.CEL	GSM512541_347R.CEL	healthy
GSM512542_278R.CEL	GSM512542_278R.CEL	healthy
GSM512543_373R.CEL	GSM512543_373R.CEL	healthy
GSM512544_350R.CEL	GSM512544_350R.CEL	healthy
GSM512545_309R.CEL	GSM512545_309R.CEL	healthy
GSM512546_357R.CEL	GSM512546_357R.CEL	healthy
GSM512547_368R.CEL	GSM512547_368R.CEL	healthy
GSM512548_288R.CEL	GSM512548_288R.CEL	healthy
GSM512549_402R.CEL	GSM512549_402R.CEL	healthy
GSM512550_383R.CEL	GSM512550_383R.CEL	healthy
GSM512551_406R.CEL	GSM512551_406R.CEL	healthy
GSM512552_396R.CEL	GSM512552_396R.CEL	healthy
GSM512553_361R.CEL	GSM512553_361R.CEL	healthy
GSM512554_419R.CEL	GSM512554_419R.CEL	healthy
GSM512555_310R.CEL	GSM512555_310R.CEL	healthy
GSM512556_305R.CEL	GSM512556_305R.CEL	healthy
GSM512557_316H.CEL	GSM512557_316H.CEL	healthy
GSM512558_379H.CEL	GSM512558_379H.CEL	healthy
GSM512559_251H.CEL	GSM512559_251H.CEL	healthy
GSM512560_304BH.CEL	GSM512560_304BH.CEL	healthy
GSM512561_380H.CEL	GSM512561_380H.CEL	healthy
GSM512562_446BH.CEL	GSM512562_446BH.CEL	healthy
GSM512563_237H.CEL	GSM512563_237H.CEL	healthy
GSM512564_388AH.CEL	GSM512564_388AH.CEL	healthy
GSM512565_232H.CEL	GSM512565_232H.CEL	healthy
GSM512566_319H.CEL	GSM512566_319H.CEL	healthy
GSM512567_289H.CEL	GSM512567_289H.CEL	healthy
GSM512568_364H.CEL	GSM512568_364H.CEL	healthy
GSM512569_342H.CEL	GSM512569_342H.CEL	healthy
GSM512570_273H.CEL	GSM512570_273H.CEL	healthy
GSM512571_322H.CEL	GSM512571_322H.CEL	healthy
GSM512572_272H.CEL	GSM512572_272H.CEL	healthy
GSM512573_226H.CEL	GSM512573_226H.CEL	healthy
GSM512574_333H.CEL	GSM512574_333H.CEL	healthy
GSM512575_395P.CEL	GSM512575_395P.CEL	healthy
GSM512576_276P.CEL	GSM512576_276P.CEL	healthy
GSM512577_451P.CEL	GSM512577_451P.CEL	healthy
GSM512578_242P.CEL	GSM512578_242P.CEL	healthy
GSM512579_446AP.CEL	GSM512579_446AP.CEL	healthy
GSM512580_249P.CEL	GSM512580_249P.CEL	healthy
GSM782523.CEL	GSM782523.CEL	diseased
GSM782524.CEL	GSM782524.CEL	diseased
GSM782525.CEL	GSM782525.CEL	diseased
GSM782526.CEL	GSM782526.CEL	diseased
GSM782527.CEL	GSM782527.CEL	diseased
GSM782528.CEL	GSM782528.CEL	diseased
GSM782529.CEL	GSM782529.CEL	diseased
GSM782530.CEL	GSM782530.CEL	diseased
GSM782531.CEL	GSM782531.CEL	diseased
GSM782532.CEL	GSM782532.CEL	diseased
GSM782533.CEL	GSM782533.CEL	diseased
GSM782534.CEL	GSM782534.CEL	diseased
GSM782535.CEL	GSM782535.CEL	diseased
GSM782536.CEL	GSM782536.CEL	diseased
GSM782537.CEL	GSM782537.CEL	diseased
GSM782538.CEL	GSM782538.CEL	diseased
GSM782539.CEL	GSM782539.CEL	diseased
GSM782540.CEL	GSM782540.CEL	diseased
GSM782541.CEL	GSM782541.CEL	diseased
GSM782542.CEL	GSM782542.CEL	diseased
GSM782543.CEL	GSM782543.CEL	diseased
GSM782544.CEL	GSM782544.CEL	diseased
GSM782545.CEL	GSM782545.CEL	diseased
GSM782546.CEL	GSM782546.CEL	diseased
GSM782547.CEL	GSM782547.CEL	diseased
GSM782548.CEL	GSM782548.CEL	diseased
GSM782549.CEL	GSM782549.CEL	diseased
GSM782550.CEL	GSM782550.CEL	diseased
GSM782551.CEL	GSM782551.CEL	diseased
GSM782552.CEL	GSM782552.CEL	diseased
GSM782553.CEL	GSM782553.CEL	diseased
GSM782554.CEL	GSM782554.CEL	diseased
GSM782555.CEL	GSM782555.CEL	diseased
GSM782556.CEL	GSM782556.CEL	diseased
GSM782557.CEL	GSM782557.CEL	diseased
GSM782558.CEL	GSM782558.CEL	diseased
GSM782559.CEL	GSM782559.CEL	diseased
GSM782560.CEL	GSM782560.CEL	diseased
GSM782561.CEL	GSM782561.CEL	diseased
GSM782562.CEL	GSM782562.CEL	diseased
GSM782563.CEL	GSM782563.CEL	diseased
GSM782564.CEL	GSM782564.CEL	diseased
GSM782565.CEL	GSM782565.CEL	diseased
GSM782566.CEL	GSM782566.CEL	diseased
GSM782567.CEL	GSM782567.CEL	diseased
GSM782568.CEL	GSM782568.CEL	diseased
GSM782569.CEL	GSM782569.CEL	diseased
GSM782570.CEL	GSM782570.CEL	diseased
GSM782571.CEL	GSM782571.CEL	diseased
GSM782572.CEL	GSM782572.CEL	diseased
GSM782573.CEL	GSM782573.CEL	diseased
GSM782574.CEL	GSM782574.CEL	diseased
GSM782575.CEL	GSM782575.CEL	diseased
GSM782576.CEL	GSM782576.CEL	diseased
GSM782577.CEL	GSM782577.CEL	diseased
GSM782578.CEL	GSM782578.CEL	diseased
GSM782579.CEL	GSM782579.CEL	diseased
GSM782580.CEL	GSM782580.CEL	diseased
GSM782581.CEL	GSM782581.CEL	diseased
GSM782582.CEL	GSM782582.CEL	diseased
GSM782583.CEL	GSM782583.CEL	diseased
GSM782584.CEL	GSM782584.CEL	diseased
GSM782585.CEL	GSM782585.CEL	diseased
GSM782586.CEL	GSM782586.CEL	diseased
GSM782587.CEL	GSM782587.CEL	diseased
GSM782588.CEL	GSM782588.CEL	diseased
GSM782589.CEL	GSM782589.CEL	diseased
